system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
Gs_8E3Y,chain_roles,data/chain_roles/Gs_8E3Y_chain_roles.json,yes,468,6539a2a5f72d86baa380d4f00c5745e5e69da72f601c55fdcbce1b1af688ac9b,computed
Gs_8E3Y,contacts,data/contacts/Gs_8E3Y_contacts.parquet,yes,52885,,pending_binary_or_large_file
Gs_8F0J,viz_structure,data/viz/Gs_8F0J/structure.pdb,yes,1531629,,pending_binary_or_large_file
Gs_8F0J,viz_trajectory,data/viz/Gs_8F0J/traj.xtc,yes,179568076,,pending_binary_or_large_file
Gs_8F0J,api_index,data/api/v1/systems/Gs_8F0J/index.json,yes,1569,6dc49e32f235450eced780b7cf272041e26cb9a81727de9d072cf24796498aaf,computed
Gs_8F0J,api_pockets,data/api/v1/systems/Gs_8F0J/pockets.json,yes,6075,eef4e0fc347df024cceaae1ed23e0d40359135d4e9046ea54576e2c759e9087d,computed
Gs_8F0J,api_pockets_gpcrdb,data/api/v1/systems/Gs_8F0J/pockets_gpcrdb.json,yes,8709,d9225e20d01caa555fd7d2f23b7464e951a9273ebb07dccd4df7553c283046f1,computed
Gs_8F0J,api_gateways,data/api/v1/systems/Gs_8F0J/gateways.json,yes,7981,1d94432034ee88a86e0259b1bf29134dc78a810400b8186578f6bff841a7eeb0,computed
Gs_8F0J,api_gprotein,data/api/v1/systems/Gs_8F0J/gprotein_metrics.json,yes,189098,c42558268e1ecab19e50f6c299a3543fc67c8da9c97ec1f4ca9e27d480d63f20,computed
Gs_8F0J,api_pocketgrid,data/api/v1/systems/Gs_8F0J/pocketgrid.npz,yes,6809950,,pending_binary_or_large_file
Gs_8F0J,chain_roles,data/chain_roles/Gs_8F0J_chain_roles.json,yes,468,47d7ecee6e3c069861e0b91ea63d09fc0fa52783f9d16fbc55eb53edd63f4519,computed
Gs_8F0J,contacts,data/contacts/Gs_8F0J_contacts.parquet,yes,53084,,pending_binary_or_large_file
Gs_8FU6,viz_structure,data/viz/Gs_8FU6/structure.pdb,yes,1558764,,pending_binary_or_large_file
Gs_8FU6,viz_trajectory,data/viz/Gs_8FU6/traj.xtc,yes,183321688,,pending_binary_or_large_file
Gs_8FU6,api_index,data/api/v1/systems/Gs_8FU6/index.json,yes,1316,98ccad4484baba553d95679f6f7bfc9ae9134542c6df2b5fd51e907a7339bfb9,computed
Gs_8FU6,api_pockets,data/api/v1/systems/Gs_8FU6/pockets.json,yes,8510,25ae143db34011b56f17f1787866d03d7dfd6c2ff85880a427d42a10891d87a4,computed
Gs_8FU6,api_pockets_gpcrdb,data/api/v1/systems/Gs_8FU6/pockets_gpcrdb.json,yes,13297,6d86946e44a763bb9b695c6fcf9e681a154fcda8edcaf2c976a18501c6232d4b,computed
Gs_8FU6,api_gateways,data/api/v1/systems/Gs_8FU6/gateways.json,yes,8023,78a233fe72d6e5c26340d1a1a188c7e7ba04530cc501d2b09eb92b57984f5f0d,computed
Gs_8FU6,api_gprotein,data/api/v1/systems/Gs_8FU6/gprotein_metrics.json,yes,190512,d29cf13a4f74b5bd5fe6dab04c32d4834924fd6ceee5061cdc99a767aff275bd,computed
Gs_8FU6,api_pocketgrid,data/api/v1/systems/Gs_8FU6/pocketgrid.npz,yes,8522782,,pending_binary_or_large_file
Gs_8FU6,chain_roles,data/chain_roles/Gs_8FU6_chain_roles.json,yes,468,450a6c2e47c97ff4936c907c27aa8909ba754fbb5ef64e4c340495c080481554,computed
Gs_8FU6,contacts,data/contacts/Gs_8FU6_contacts.parquet,yes,52282,,pending_binary_or_large_file
G12_7SF7,viz_structure,data/viz/G12_7SF7/structure.pdb,yes,1146150,,pending_binary_or_large_file
G12_7SF7,viz_trajectory,data/viz/G12_7SF7/traj.xtc,yes,134520700,,pending_binary_or_large_file
G12_7SF7,api_index,data/api/v1/systems/G12_7SF7/index.json,yes,1349,fc47f69a05420be218716bc3eb234435f35d80311154b9d1b27c29fb4e5ba650,computed
G12_7SF7,api_pockets,data/api/v1/systems/G12_7SF7/pockets.json,yes,6007,daedef6a9f0fa4ab42bfdd26507737a44341792fa8d4f35bf5533cc7ed66416f,computed
G12_7SF7,api_pockets_gpcrdb,data/api/v1/systems/G12_7SF7/pockets_gpcrdb.json,yes,9530,442d575d4391325799250d68e288af9488808dea1d305f50fba8ec5b363c0dc4,computed
G12_7SF7,api_gateways,data/api/v1/systems/G12_7SF7/gateways.json,yes,8186,c61388f544f85e574972530c76fc15d07f9c12f25f15731b8f2930ed08f341ee,computed
G12_7SF7,api_gprotein,data/api/v1/systems/G12_7SF7/gprotein_metrics.json,yes,105924,3f86e2da0122086da9e4477e22fe2127aeacaec0d5ddca0ddf0cd18edb42d14a,computed
G12_7SF7,api_pocketgrid,data/api/v1/systems/G12_7SF7/pocketgrid.npz,yes,5086910,,pending_binary_or_large_file
G12_7SF7,chain_roles,data/chain_roles/G12_7SF7_chain_roles.json,yes,382,7641ced058854a3a2356305c4166d7f0cb686b9c44f376d3fb69eee5772f9f33,computed
G12_7SF7,contacts,data/contacts/G12_7SF7_contacts.parquet,yes,41776,,pending_binary_or_large_file
G12_7SF8,viz_structure,data/viz/G12_7SF8/structure.pdb,yes,1122255,,pending_binary_or_large_file
G12_7SF8,viz_trajectory,data/viz/G12_7SF8/traj.xtc,yes,131802396,,pending_binary_or_large_file
